accession	description	tax_id	scientific_name	first_public	base_count
AB669876	Drosophila birchii Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0521.01.	46829	Drosophila birchii	2014-01-02	833
AY044130	Drosophila formosana alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157056	Drosophila formosana	2002-08-06	721
AY154862	Drosophila arizonae strain ARTU 35 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	Drosophila arizonae	2003-03-03	880
M60996	Drosophila pseudoobscura bogotana strain BOG 3389.9 alcohol dehydrogenase (adh) gene, complete cds.	46244	Drosophila pseudoobscura bogotana	1992-04-30	3450
AY154849	Drosophila arizonae strain AR00 13 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	Drosophila arizonae	2003-03-03	878
AY154851	Drosophila arizonae strain AR00 1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	Drosophila arizonae	2003-03-03	880
AY154848	Drosophila arizonae strain AR00 6 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263	Drosophila arizonae	2003-03-03	878
AY154859	Drosophila arizonae strain ARTU 22 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263	Drosophila arizonae	2003-03-03	880
M60994	Drosophila pseudoobscura bogotana strain BOG 3389.5 alcohol dehydrogenase (adh) gene, complete cds.	46244	Drosophila pseudoobscura bogotana	1992-04-30	3471
AF045117	Drosophila subsaltans strain 14044-0872.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	72474	Drosophila subsaltans	1998-06-02	405
AF045121	Drosophila milleri strain 14043-0861.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	72471	Drosophila milleri	1998-06-02	405
AY154866	Drosophila mojavensis strain MJBC 35.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	Drosophila mojavensis	2003-03-03	880
AF045126	Drosophila emarginata strain 14042-0841.4 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	30024	Drosophila emarginata	1998-06-02	405
AY154865	Drosophila mojavensis strain MJBC 33.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	Drosophila mojavensis	2003-03-03	880
AF045123	Drosophila austrosaltans strain 14045-0881.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	72469	Drosophila austrosaltans	1998-06-02	405
AY154828	Drosophila mojavensis strain MJBC 33.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	Drosophila mojavensis	2003-03-03	880
AY154839	Drosophila mojavensis strain MJBC 205.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	Drosophila mojavensis	2003-03-03	880
U40987	Drosophila imaii alcohol dehydrogenase (Adh) gene, partial exons 2 and 3, and partial cds.	44481	Drosophila imaii	1996-09-27	429
AB194422	Drosophila malerkotliana malerkotliana Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	195057	Drosophila malerkotliana malerkotliana	2005-05-07	1782
AF348884	Drosophila rufa strain MS alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	67533	Drosophila rufa	2001-04-16	667
U35852	Drosophila melanogaster truncated jockey retroposon insertion upstream of the alcohol dehydrogenase gene enhancer region, 3' end.	7227	Drosophila melanogaster	1995-10-12	303
X58694	D. hydei ADH-1 and ADH-2 genes for alcohol dehydrogenase and an ADH psi pseudogene	7224	Drosophila hydei	1991-04-11	8447
CV785154	zaa07h09.y2 D yakuba testes cDNA Drosophila yakuba cDNA 5' similar to SW:ADH_DROTS P51550 ALCOHOL DEHYDROGENASE , mRNA sequence.	7245	Drosophila yakuba	2004-11-12	433
CV785799	zaa02h11.x2 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROYA P26719 ALCOHOL DEHYDROGENASE , mRNA sequence.	7245	Drosophila yakuba	2004-11-12	521
CV878941	zaa98d08.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROGU Q09009 ALCOHOL DEHYDROGENASE , mRNA sequence.	7245	Drosophila yakuba	2004-11-20	703
CV879066	zab02h12.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	7245	Drosophila yakuba	2004-11-20	709
AI404931	GH24792.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH24792 5prime similar to X60791: D.melanogaster (strain KA12) Adh gene for alcohol dehydrogenase, mRNA sequence.	7227	Drosophila melanogaster	1999-02-10	702
AY695384	Drosophila arawakana alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	30017	Drosophila arawakana	2006-08-01	1141
AI108260	GH07054.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH07054 5prime similar to M17831: D.melanogaster (strain Fl-2S) alcohol dehydrogenase gene (allele Adh-S), complete cds, mRNA sequence.	7227	Drosophila melanogaster	1998-09-04	378
AY695388	Drosophila dunni strain St. Croix alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133979	Drosophila dunni	2006-08-01	1141
BF490844	AT27452.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT27452 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/09/2001, mRNA sequence.	7227	Drosophila melanogaster	2000-12-07	668
AI260852	LP04842.5prime LP Drosophila melanogaster larval-early pupal pOT2 Drosophila melanogaster cDNA clone LP04842 5prime similar to U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds, mRNA sequence.	7227	Drosophila melanogaster	1998-11-13	737
BI617843	RH48301.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH48301 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/18/2001, mRNA sequence.	7227	Drosophila melanogaster	2001-09-11	512
BI635199	SD16470.5prime SD Drosophila melanogaster Schneider L2 cell culture pOT2 Drosophila melanogaster cDNA clone SD16470 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 05/18/2001, mRNA sequence.	7227	Drosophila melanogaster	2001-09-11	558
AW941952	GM05887.3prime GM Drosophila melanogaster ovary BlueScript Drosophila melanogaster cDNA clone GM05887 3 similar to U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds. CDS:<1..184 PID:g1655925 GI:1655925, mRNA sequence.	7227	Drosophila melanogaster	2000-06-03	450
AF006567	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	7234	Drosophila persimilis	1997-09-11	3502
U65746	Drosophila buzzatii alcohol dehydrogenase (Adh-P) pseudogene, and alcohol dehydrogenase 2 (Adh-2) and alcohol dehydrogenase 1 (Adh-1) genes, complete cds.	7264	Drosophila buzzatii	1996-10-21	8725
X00607	Drosophila simulans gene for alcohol dehydrogenase	7240	Drosophila simulans	1985-06-13	4607
M37276	Drosophila mojavensis alcohol dehydrogenase-2 (Adh-2) and alcohol dehydrogenase-1 (Adh-1) genes, complete cds.	7230	Drosophila mojavensis	1990-09-13	8783
AY279325	Drosophila orena alcohol dehydrogenase (Adh) gene, partial cds and alcohol dehydrogenase related (Adhr) gene, complete cds.	7233	Drosophila orena	2004-03-31	1724
KU559568	Drosophila virilis strain 15010-1051.0 alcohol dehydrogenase (Adh1) and alcohol dehydrogenase (Adh2) genes, complete cds.	7244	Drosophila virilis	2016-05-31	14750
M63291	Drosophila silvestris alcohol dehydrogenase gene, complete cds.	47010	Drosophila silvestris	1991-04-04	1635
X62193	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3483
X62220	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3479
AY040854	Drosophila melanogaster alcohol dehydrogenase gene silencer sequence.	7227	Drosophila melanogaster	2001-08-19	1180
JF735882	Drosophila nigromelanica alcohol dehydrogenase gene, partial cds.	499227	Drosophila nigromelanica	2011-10-24	626
X62214	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3486
X62228	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3464
M60791	Drosophila adiastola alcohol dehydrogenase gene, complete cds.	7261	Drosophila adiastola	1992-06-06	912
X62206	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3499
X64480	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3470
X62204	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3499
X62195	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3499
X62199	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3475
X62226	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3466
X64486	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	Drosophila pseudoobscura	1992-10-16	3475
AY238778	Drosophila miranda strain SP235 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229	Drosophila miranda	2003-04-08	2042
AY238777	Drosophila miranda strain SP138 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229	Drosophila miranda	2003-04-08	2042
AY081440	Drosophila tripunctata alcohol dehydrogenase (Adh) gene, partial cds.	141217	Drosophila tripunctata	2002-08-09	217
AY750123	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	7252	Drosophila melanica	2005-12-31	911
AY750132	Drosophila euronotus alcohol dehydrogenase (Adh) gene, partial cds.	55945	Drosophila euronotus	2005-12-31	911
AY750144	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	311480	Drosophila medioconstricta	2005-12-31	911
DQ471630	Drosophila barutani alcohol dehydrogenase (Adh) gene, partial cds.	381452	Drosophila barutani	2006-07-20	711
HQ631470	Drosophila bipectinata alcohol dehydrogenase (adh) gene, partial cds.	42026	Drosophila bipectinata	2011-08-30	290
AF264077	Drosophila nebulosa alcohol dehydrogenase (Adh) gene, partial cds.	7271	Drosophila nebulosa	2000-05-30	405
AY006411	Drosophila picticornis alcohol dehydrogenase (Adh) gene, partial cds.	7235	Drosophila picticornis	2001-09-04	510
AY750118	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.	311474	Drosophila longiserrata	2005-12-31	911
DQ471667	Drosophila repleta alcohol dehydrogenase (Adh) gene, partial cds.	30043	Drosophila repleta	2006-07-20	711
HQ631471	Drosophila bocki alcohol dehydrogenase (adh) gene, partial cds.	103765	Drosophila bocki	2011-08-30	290
HQ631473	Drosophila curveadeagus alcohol dehydrogenase (adh) gene, partial cds.	2609304	Drosophila curveaedeagus (nomen nudum)	2011-08-30	290
HQ631484	Drosophila pulchrella alcohol dehydrogenase (adh) gene, partial cds.	187394	Drosophila pulchrella	2011-08-30	290
U26839	Drosophila borealis alcohol dehydrogenase (Adh) gene, complete cds.	40368	Drosophila borealis	1995-06-30	961
AF059889	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	7252	Drosophila melanica	1998-04-28	290
AY006409	Drosophila adunca alcohol dehydrogenase (Adh) gene, partial cds.	46893	Drosophila adunca	2001-09-04	508
AY006413	Drosophila nigribasis alcohol dehydrogenase (Adh) gene, partial cds.	46820	Drosophila nigribasis	2001-09-04	510
AY750116	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.	119604	Drosophila lacertosa	2005-12-31	911
AY750127	Drosophila paramelanica alcohol dehydrogenase (Adh) gene, partial cds.	311477	Drosophila paramelanica	2005-12-31	911
AY750130	Drosophila neokadai alcohol dehydrogenase (Adh) gene, partial cds.	311476	Drosophila neokadai	2005-12-31	911
AY750136	Drosophila okadai alcohol dehydrogenase (Adh) gene, partial cds.	311481	Drosophila okadai	2005-12-31	911
DQ471655	Drosophila americana alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2006-07-20	711
U94203	Drosophila petalopeza alcohol dehydrogenase (Adh) gene, partial cds.	58309	Drosophila petalopeza	1998-02-23	204
AY006417	Drosophila neoperkinsi alcohol dehydrogenase (Adh) gene, partial cds.	48320	Drosophila neoperkinsi	2001-09-04	510
AY750139	Drosophila sordidula alcohol dehydrogenase (Adh) gene, partial cds.	55950	Drosophila sordidula	2005-12-31	911
DQ471659	Drosophila eohydei alcohol dehydrogenase (Adh) gene, partial cds.	54075	Drosophila eohydei	2006-07-20	711
DQ471661	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, partial cds.	50033	Drosophila kanekoi	2006-07-20	711
GQ376034	Drosophila pseudoananassae alcohol dehydrogenase (ADH) gene, partial cds.	65964	Drosophila pseudoananassae	2009-08-02	410
GQ376035	Drosophila bipectinata alcohol dehydrogenase (ADH) gene, partial cds.	42026	Drosophila bipectinata	2009-08-02	410
U90956	Drosophila tristis alcohol dehydrogenase (Adh) gene, partial cds.	7284	Drosophila tristis	1997-11-14	428
X68165	Drosophila pseudoobscura Adh gene for alcohol dehydrogenase (PS314)	7237	Drosophila pseudoobscura	1992-10-08	3460
Z00032	Drosophila orena alcohol dehydrogenase gene and flanking regions	7233	Drosophila orena	1986-07-02	2617
AB261136	Drosophila pallidifrons Adh gene for alcohol dehydrogenase, partial cds.	88884	Drosophila pallidifrons	2007-11-03	861
AB932648	Drosophila bizonata Adh gene for alcohol dehydrogenase, partial cds.	188282	Drosophila bizonata	2015-01-14	844
AB932646	Drosophila angularis Adh gene for alcohol dehydrogenase, partial cds.	309934	Drosophila angularis	2014-10-26	840
AB932662	Drosophila multispina Adh gene for alcohol dehydrogenase, partial cds.	1503162	Drosophila multispina	2014-10-26	852
AF260692	Drosophila montana alcohol dehydrogenase-related protein gene, partial cds.	40370	Drosophila montana	2000-09-20	456
KM016471	Drosophila simulans isolate KY32 alcohol dehydrogenase-related gene, intron.	7240	Drosophila simulans	2014-09-24	479
U26842	Drosophila montana alcohol dehydrogenase (Adh-1) gene, complete cds.	40370	Drosophila montana	1995-06-22	957
X60793	D.melanogaster (strain NC16) Adh gene for alcohol dehydrogenase	7227	Drosophila melanogaster	1991-10-07	2763
AB033644	Drosophila brachynephros Adh mRNA for alcohol dehydrogenase, partial cds.	106246	Drosophila brachynephros	1999-11-16	711
AB261135	Drosophila siamana Adh gene for alcohol dehydrogenase, partial cds.	157059	Drosophila siamana	2007-11-03	855
AB932664	Drosophila nigromaculata Adh gene for alcohol dehydrogenase, partial cds.	198721	Drosophila nigromaculata	2015-01-14	849
AB932678	Drosophila transversa Adh gene for alcohol dehydrogenase, partial cds.	193351	Drosophila transversa	2014-10-26	839
AB932679	Drosophila tripunctata Adh gene for alcohol dehydrogenase, partial cds.	141217	Drosophila tripunctata	2014-10-26	836
AB932680	Drosophila unispina Adh gene for alcohol dehydrogenase, partial cds.	193352	Drosophila unispina	2015-01-14	848
AF260699	Drosophila buzzatii alcohol dehydrogenase-related protein gene, complete cds.	7264	Drosophila buzzatii	2000-09-20	2795
AH000980	Drosophila melanogaster alcohol dehydrogenase (ADH-71k) gene, complete cds.	7227	Drosophila melanogaster	2016-06-13	2474
U95266	Drosophila willistoni PA2 alcohol dehydrogenase (Adh) gene, complete cds.	7260	Drosophila willistoni	1999-01-06	1159
X57374	Drosophila yakuba (individual j) Adh gene for alcohol dehydrogenase	7245	Drosophila yakuba	1991-07-17	975
X57376	Drosophila yakuba (individual l) Adh gene for alcohol dehydrogenase	7245	Drosophila yakuba	1991-07-17	975
U95260	Drosophila willistoni Lima alcohol dehydrogenase (Adh) gene, complete cds.	7260	Drosophila willistoni	1999-01-06	1172
X57372	Drosophila yakuba (individual h) Adh gene for alcohol dehydrogenase	7245	Drosophila yakuba	1991-07-17	975
AB154553	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh12.	30033	Drosophila kikkawai	2004-04-01	675
AF201429	Drosophila simulans isolate TT01 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2000-07-03	480
AY156525	Drosophila navojoa alcohol dehydrogenase 2 (adh-2) gene, complete cds.	7232	Drosophila navojoa	2003-03-03	878
KX976486	Drosophila yakuba isolate Yakuba_SJ7 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976513	Drosophila yakuba isolate Yakuba_2_11 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
M60980	Drosophila pseudoobscura (strain AH54) alcohol dehydrogenase (adh) gene, complete cds.	7237	Drosophila pseudoobscura	1992-01-26	3476
EU532128	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	46793	Drosophila paulistorum	2010-01-21	562
HQ110512	Drosophila neocordata isolate D_neoc_c1 alcohol dehydrogenase (Adh) gene, partial cds.	30039	Drosophila neocordata	2011-05-06	830
HQ110514	Drosophila neocordata isolate D_neoc_c3 alcohol dehydrogenase (Adh) gene, partial cds.	30039	Drosophila neocordata	2011-05-06	819
HQ110515	Drosophila prosaltans isolate D_pros_c1 alcohol dehydrogenase (Adh) gene, partial cds.	30042	Drosophila prosaltans	2011-05-06	859
KX976489	Drosophila yakuba isolate Yakuba_SJ14 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976512	Drosophila yakuba isolate Yakuba_3_16 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976518	Drosophila yakuba isolate Yakuba_1_7 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
M60988	Drosophila pseudoobscura (strain AH165) alcohol dehydrogenase (adh) gene, complete cds.	7237	Drosophila pseudoobscura	1992-04-30	3467
AB154543	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh02.	30033	Drosophila kikkawai	2004-04-01	675
AB154544	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh03.	30033	Drosophila kikkawai	2004-04-01	683
AB154551	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh10.	30033	Drosophila kikkawai	2004-04-01	683
AF201449	Drosophila simulans isolate MDW86 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2000-07-03	481
AF284481	Drosophila sechellia strain SS77 alcohol dehydrogenase (Adh) gene, partial cds.	7238	Drosophila sechellia	2000-11-02	700
AY095943	Drosophila curvispina isolate cur3 alcohol dehydrogenase (Adh) gene, partial cds.	126591	Drosophila curvispina	2003-05-01	443
AY335198	Drosophila saltans clone Dsalt2L alcohol dehydrogenase (Adh) gene, partial cds.	7273	Drosophila saltans	2003-12-31	854
DQ471613	Drosophila angor strain B123 alcohol dehydrogenase (Adh) gene, partial cds.	381448	Drosophila angor	2006-07-20	711
DQ471644	Drosophila barutani strain 178 alcohol dehydrogenase (Adh) gene, partial cds.	381452	Drosophila barutani	2006-07-20	711
DQ471653	Drosophila kanekoi strain 248 alcohol dehydrogenase (Adh) gene, partial cds.	50033	Drosophila kanekoi	2006-07-20	711
DQ471654	Drosophila tsigana strain JP275 alcohol dehydrogenase (Adh) gene, partial cds.	65966	Drosophila tsigana	2006-07-20	711
EU532129	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	46793	Drosophila paulistorum	2010-01-21	558
JX455213	Drosophila simulans isolate HW04 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2012-09-03	481
KX976497	Drosophila yakuba isolate Yakuba_Cascade_SN6 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
M60981	Drosophila pseudoobscura (strain AH69) alcohol dehydrogenase (adh) gene, complete cds.	7237	Drosophila pseudoobscura	1992-01-26	3475
M60985	Drosophila pseudoobscura (strain AH135) alcohol dehydrogenase (adh) gene, complete cds.	7237	Drosophila pseudoobscura	1992-04-30	3465
U95258	Drosophila willistoni Cano Mora alcohol dehydrogenase (Adh) gene, complete cds.	7260	Drosophila willistoni	1999-01-06	1172
DQ471628	Drosophila angor strain Taiwan alcohol dehydrogenase (Adh) gene, partial cds.	381448	Drosophila angor	2006-07-20	711
JX455216	Drosophila simulans isolate HW47 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2012-09-03	480
KX976521	Drosophila yakuba isolate Yakuba_2_8 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
AY095938	Drosophila transversa isolate tra2 alcohol dehydrogenase (Adh) gene, partial cds.	193351	Drosophila transversa	2003-05-01	437
KX976492	Drosophila yakuba isolate Yakuba_SN7 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976500	Drosophila yakuba isolate Yakuba_Anton_1_Principe alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
AB669850	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L76.	137355	Drosophila burlai	2014-01-02	833
AB669859	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: A126.	103765	Drosophila bocki	2014-01-02	831
AF136695	Drosophila americana americana G96.14Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
L78922	Drosophila mimica (strain 15292-2561.2) alcohol dehydrogenase gene, partial cds.	7270	Drosophila mimica	1996-06-25	822
U64542	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS308 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3481
U64550	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS333 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3484
U95271	Drosophila paulistorum Andean-Brazilian, ABM alcohol dehydrogenase (Adh) gene, complete cds.	46793	Drosophila paulistorum	1999-01-06	1167
X54120	D.yakuba Adh gene for alcohol dehydrogenase and Adh-related gene	7245	Drosophila yakuba	1992-04-14	2284
AF136661	Drosophila americana americana G96.48X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136667	Drosophila americana americana G96.33X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136668	Drosophila americana americana G96.21X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136699	Drosophila americana texana LP97.01 alcohol dehydrogenase (Adh) gene, partial cds.	40372	Drosophila americana texana	1999-06-03	884
AF459753	Drosophila biarmipes alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	125945	Drosophila biarmipes	2002-05-16	290
AF459763	Drosophila watanabei alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	94109	Drosophila watanabei	2002-05-16	290
AF459771	Drosophila kikkawai alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	30033	Drosophila kikkawai	2002-05-16	290
KY002642	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_KL6 alcohol dehydrogenase-like gene, complete sequence.	7227	Drosophila melanogaster	2017-10-13	819
LC057205	Drosophila sp. XT-32 Adh gene for alcohol dehydrogenase, partial cds.	1660393	Drosophila sp. XT-32	2019-06-04	836
U64529	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS251 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3491
U64533	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS267 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3465
U64537	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS277 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3465
AB669824	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: TKNM1.	154832	Drosophila asahinai	2014-01-02	839
AB669834	Drosophila rufa Adh gene for alcohol dehydrogenase, partial cds, strain: EH091.	67533	Drosophila rufa	2014-01-02	838
AB669858	Drosophila barbarae Adh gene for alcohol dehydrogenase, partial cds, strain: MMY317.	137354	Drosophila barbarae	2014-01-02	833
AB669864	Drosophila kikkawai Adh gene for alcohol dehydrogenase, partial cds, strain: NAHA1.	30033	Drosophila kikkawai	2014-01-02	832
AF136682	Drosophila americana americana G96.47Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136688	Drosophila americana americana G96.33Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136694	Drosophila americana americana G96.11Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF459772	Drosophila lini alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	74550	Drosophila lini	2002-05-16	290
AF459775	Drosophila triauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	67534	Drosophila triauraria	2002-05-16	290
EF560573	Drosophila brncici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306027	Drosophila brncici	2008-05-01	622
L78928	Drosophila mimica (strain 15292-2561.9) alcohol dehydrogenase gene, partial cds.	7270	Drosophila mimica	1996-06-25	822
U64546	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS322 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3504
U64557	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS352 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3457
AB669882	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG1.	112146	Drosophila bicornuta	2014-01-02	838
AF136659	Drosophila americana americana G96.14X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AY804554	Drosophila santomea strain STO.4 alcohol dehydrogenase (Adh) gene, partial cds.	129105	Drosophila santomea	2005-10-06	759
U76477	Drosophila hydei strain 9 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	Drosophila hydei	1996-11-19	897
U64539	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS295 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3489
U76473	Drosophila hydei strain 5 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	Drosophila hydei	1996-11-19	897
AB703325	Drosophila tolteca Adh gene for alcohol dehydrogenase, partial cds, clone: D.tolteca.	7259	Drosophila tolteca	2012-03-18	405
AF136676	Drosophila americana americana D.am-.1Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AH011594	Drosophila biauraria strain 14028-0501.0 alcohol dehydrogenase (Adh) gene, partial cds.	73155	Drosophila biauraria	2016-04-08	565
AY541093	Drosophila innubila strain CH2_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719	Drosophila innubila	2004-12-13	555
AY874369	Drosophila subobscura strain line 21 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241	Drosophila subobscura	2005-05-31	1406
